hostname,n_planets,avg_pl_rade,avg_pl_bmasse,avg_orbper,sy_dist,st_teff
GJ 682,2,2.41,6.55,37.399,5.00671,3028.0
EPIC 201595106,2,2.7924999999999995,11.45,5.33708,232.1,5679.0
HD 12661,2,13.25,835.8906459049999,985.3543099999999,37.8478,5748.0
Kepler-232,2,3.455,11.844999999999999,7.9052855,1349.13,5847.0
HD 47366,2,13.45,572.72678941,518.805,84.3552,4866.0
K2-146,2,2.12,6.63,3.32479,79.3002,3385.0
HD 21693,2,3.57,12.8,38.20715,33.255,5430.0
TOI-1338 A,2,8.9805,43.35,155.59505,399.017,5723.2
K2-254,2,1.91,4.359999999999999,8.10739,227.775,4629.0
KOI-12,2,12.893535,3670.9365000000003,1258.927591,399.398,6635.0
K2-343,2,1.835,4.05,5.232073,166.169,3804.0
Kepler-1471,2,1.645,3.38,7.62174104,978.678,5660.0
Kepler-1814,2,2.064806785,4.98,1.7808208605,726.346,4922.0
Kepler-390,2,0.8049999999999999,0.4475,9.899055,435.277,5166.0
Kepler-173,2,1.86,4.345000000000001,6.1347594999999995,833.165,6031.0
Kepler-270,2,1.89,4.24,18.369490499999998,948.781,6067.0
Kepler-370,2,1.75,3.7299999999999995,11.80123,1167.94,5852.0
HD 74698,2,9.56,74.5,1732.0085,52.0648,5783.0
Kepler-967,2,3.0,9.51,105.969191995,568.546,5178.0
HD 133131 A,2,13.95,292.4036,2108.5,51.4736,5799.0
Kepler-896,2,2.84,8.52,87.0448263,2334.93,5510.0
TOI-216,2,9.05,98.367891965,25.843129,177.945,5026.0
Kepler-364,2,1.85,4.145,42.8631725,891.462,6108.0
TOI-2202,2,12.175587069999999,202.29778105500003,18.29350375,235.933,5169.0
GJ 3512,2,14.3,145.24758200000002,1278.5545,9.48637,3141.0
HD 163607,2,13.600000000000001,474.297709,673.61015,67.7855,5522.0
Kepler-302,2,8.254999999999999,15.5,78.733144,1402.58,5740.0
Kepler-633,2,1.9629999999999999,4.59,16.143303245,680.54,5899.0
HD 11964,2,9.74,111.5,991.455,33.5369,5303.0
LTT 3780,2,1.8575,5.25,6.510331655,21.9814,3358.0
Kepler-188,2,2.435,6.880000000000001,4.029225,968.544,6021.0
Kepler-414,2,2.36,16.7,5.9355,413.46,5536.0
Kepler-259,2,2.75,8.0,22.520124,1002.14,5938.0
Kepler-175,2,2.83,8.440000000000001,22.969386,1312.34,6064.0
Kepler-153,2,2.7249999999999996,7.895,32.8862735,459.368,5404.0
Kepler-1514,2,6.79769805,839.9412,114.1730105,397.292,6145.0
HD 81817,2,12.0,7427.17312898,822.0898050000001,269.126,4140.0
Kepler-1921,2,2.15229729,5.6450000000000005,11.59601022,928.989,6120.0
Kepler-205,2,1.575,3.1100000000000003,11.531093,159.72,4321.0
Kepler-1350,2,2.125,5.2700000000000005,3.131824731,340.691,3827.0
Kepler-274,2,1.69,3.515,22.4163245,1333.62,6023.0
HD 114783,2,13.55,476.73698665,2422.85,21.0628,5135.0
TOI-6041,2,7.525,53.400000000000006,57.024725000000004,72.4731,5445.0
GJ 3090,2,2.66,7.26,9.396900989999999,22.4751,3707.0
K2-38,2,1.915,7.800000000000001,7.28848,192.69,5731.0
TOI-201,2,11.47799624,2348.75192773,1426.488973,113.825,6394.0
Kepler-128,2,1.471,3.585,18.9,396.379,6072.0
WASP-8,2,12.583085,1905.3291,2165.57936,89.9606,5690.0
K2-282,2,2.05,4.995,2.4375465,496.289,5499.0
TOI-2093,2,2.775,13.2,33.323745,82.7982,4426.0
WASP-84,2,6.335,117.6,4.9851906900000005,100.588,5280.0
TOI-1803,2,3.64,9.16,9.589533,119.24,4687.0
Kepler-1869,2,0.92977677,0.895,4.942094305,113.025,5808.0
Kepler-300,2,1.96,4.5600000000000005,25.580651000000003,1098.45,5986.0
Kepler-356,2,1.69,3.51,8.867163999999999,707.559,6133.0
HD 24040,2,11.125,826.5127724050001,2091.7,46.6224,5802.0
Kepler-94,2,8.004999999999999,1568.42,411.40403,191.904,4781.0
HIP 54373,2,3.2199999999999998,10.53,11.452,18.7168,4021.0
HD 168443,2,12.399999999999999,3962.3667500700003,905.610735,39.6245,5491.0
HD 60532,2,13.55,567.32655,401.0,25.9716,6245.0
HD 25463,2,1.9544538349999998,6.5,5.04659615,45.6181,6353.0
HD 187123,2,13.7,539.192764045,1906.5482914,45.9548,5790.0
Kepler-335,2,3.23,10.52,37.2034,1278.97,5877.0
7 CMa,2,13.65,432.24879999999996,865.55,19.8101,4826.0
Kepler-141,2,1.0499999999999998,1.4135,5.0591405,301.183,4910.0
TOI-1294,2,12.211849405,105.45,81.907646,332.648,5718.0
Kepler-396,2,4.4,46.7,65.7495,223.757,5656.0
K2-195,2,2.852909455,8.56,22.167880500000003,315.014,5713.0
Kepler-607,2,1.815006005,4.32,20.157481487000002,519.122,5244.0
HD 67087,2,13.0,1256.5,1363.1,76.5217,6330.0
Kepler-303,2,1.015,1.095,4.499102000000001,209.738,3944.0
Kepler-261,2,2.09,5.025,17.476042500000002,317.499,5098.0
WASP-148,2,11.186994705,107.90274417500001,21.6639045,246.353,5555.0
Kepler-170,2,3.0300000000000002,45.574999999999996,12.298227500000001,738.657,5679.0
Kepler-152,2,2.59,7.25,53.231514,441.09,5088.0
HD 111232,2,12.399999999999999,4136.2188887,13820.789125000001,28.9571,5512.0
