pl_name,hostname,hostname_canon,discoverymethod,discoverymethod_canon,disc_year,disc_year_int,disc_year_bad,disc_era,pl_orbper,pl_rade,pl_bmasse,pl_eqt,sy_dist,ra,dec
Kepler-943 b,Kepler-943,kepler-943,Transit,transit,2016,2016,false,2010s,49.7701438,5.93,29.5,455.0,2300.53,284.2739322,41.5349809
Kepler-946 b,Kepler-946,kepler-946,Transit,transit,2016,2016,false,2010s,11.79162572,1.93,4.38,857.0,1137.29,300.9295551,44.028671
Kepler-1014 b,Kepler-1014,kepler-1014,Transit,transit,2016,2016,false,2010s,16.57110363,2.39,6.3,614.0,624.8,285.1219875,44.1105331
Kepler-852 b,Kepler-852,kepler-852,Transit,transit,2016,2016,false,2010s,44.9309804,2.54,6.99,565.0,1619.03,297.3915863,48.5606875
Kepler-884 b,Kepler-884,kepler-884,Transit,transit,2016,2016,false,2010s,5.69919514,1.23,2.04,964.0,476.733,292.5844328,49.9232012
Kepler-529 c,Kepler-529,kepler-529,Transit,transit,2016,2016,false,2010s,12.8345022,2.0,4.66,891.0,799.008,285.8884067,47.880364
Kepler-944 b,Kepler-944,kepler-944,Transit,transit,2016,2016,false,2010s,43.3167737,2.63,7.41,459.0,1349.43,293.6012911,42.379791
Kepler-942 b,Kepler-942,kepler-942,Transit,transit,2016,2016,false,2010s,44.96417488,2.13,5.18,379.0,216.354,294.9550809,44.1499518
Kepler-1010 b,Kepler-1010,kepler-1010,Transit,transit,2016,2016,false,2010s,34.2685705,2.32,5.99,477.0,579.273,289.1926026,44.1493165
Kepler-882 b,Kepler-882,kepler-882,Transit,transit,2016,2016,false,2010s,3.989539666,1.23,2.04,903.0,504.605,294.6500256,43.3356106
Kepler-255 d,Kepler-255,kepler-255,Transit,transit,2016,2016,false,2010s,1.045622658,1.32,2.3,1710.0,1052.53,296.0642702,45.9767647
Kepler-758 c,Kepler-758,kepler-758,Transit,transit,2016,2016,false,2010s,4.75793986,1.69,3.5,1372.0,1502.32,293.0846115,41.1354049
Kepler-1034 b,Kepler-1034,kepler-1034,Transit,transit,2016,2016,false,2010s,12.12400943,2.26,5.73,675.0,654.549,286.1154093,37.9669464
Kepler-1013 b,Kepler-1013,kepler-1013,Transit,transit,2016,2016,false,2010s,18.93054959,2.15,5.27,766.0,422.246,290.2481023,44.4352935
Kepler-1054 b,Kepler-1054,kepler-1054,Transit,transit,2016,2016,false,2010s,4.30655689,2.63,7.41,1177.0,1090.51,290.6011085,44.5563604
Kepler-760 c,Kepler-760,kepler-760,Transit,transit,2016,2016,false,2010s,2.46697439,1.48,2.79,1139.0,792.336,287.5931997,44.1794278
Kepler-271 c,Kepler-271,kepler-271,Transit,transit,2014,2014,false,2010s,7.41086267,0.95,0.809,850.0,404.542,283.0029316,44.284108
Kepler-967 b,Kepler-967,kepler-967,Transit,transit,2016,2016,false,2010s,13.22713379,2.35,6.12,638.0,568.546,286.5580128,38.4052418
Kepler-995 b,Kepler-995,kepler-995,Transit,transit,2016,2016,false,2010s,28.26731672,2.7,7.75,517.0,609.638,284.6157154,39.130998
Kepler-1033 b,Kepler-1033,kepler-1033,Transit,transit,2016,2016,false,2010s,7.56052806,2.51,6.85,914.0,1455.5,283.8450963,44.6090251
Kepler-876 b,Kepler-876,kepler-876,Transit,transit,2016,2016,false,2010s,5.14438011,1.43,2.63,923.0,820.913,283.4781717,43.3837235
Kepler-875 b,Kepler-875,kepler-875,Transit,transit,2016,2016,false,2010s,27.5073799,2.9,8.75,569.0,1242.62,297.3012497,43.1418313
Kepler-732 c,Kepler-732,kepler-732,Transit,transit,2016,2016,false,2010s,0.893041236,1.27,2.15,893.0,174.826,283.7317274,45.9585288
Kepler-1060 b,Kepler-1060,kepler-1060,Transit,transit,2016,2016,false,2010s,46.8779367,2.38,6.26,484.0,946.565,286.0252285,39.6309204
Kepler-1008 b,Kepler-1008,kepler-1008,Transit,transit,2016,2016,false,2010s,12.43931193,1.28,2.18,627.0,282.565,296.5476395,44.9418307
Kepler-1055 b,Kepler-1055,kepler-1055,Transit,transit,2016,2016,false,2010s,2.295036233,1.23,2.04,1304.0,389.397,290.4867838,44.932541
Kepler-1045 b,Kepler-1045,kepler-1045,Transit,transit,2016,2016,false,2010s,26.41045478,2.69,7.7,512.0,942.485,284.1832668,45.0740897
Kepler-872 b,Kepler-872,kepler-872,Transit,transit,2016,2016,false,2010s,2.578855068,1.99,4.62,1230.0,879.683,295.4174725,43.6056117
Kepler-1071 b,Kepler-1071,kepler-1071,Transit,transit,2016,2016,false,2010s,6.1799844,2.38,6.26,814.0,1042.27,293.0579794,45.2487472
Kepler-1139 b,Kepler-1139,kepler-1139,Transit,transit,2016,2016,false,2010s,0.813166719,1.19,1.81,1693.0,495.156,287.9455985,39.2305281
Kepler-1180 b,Kepler-1180,kepler-1180,Transit,transit,2016,2016,false,2010s,16.8601286,1.99,4.62,765.0,1596.8,295.8874773,43.1559952
Kepler-1181 b,Kepler-1181,kepler-1181,Transit,transit,2016,2016,false,2010s,4.89337519,1.57,3.09,1374.0,938.417,289.7473165,39.5234131
Kepler-991 b,Kepler-991,kepler-991,Transit,transit,2016,2016,false,2010s,82.5342519,2.54,6.99,260.0,389.561,297.0905543,49.6264867
Kepler-1141 b,Kepler-1141,kepler-1141,Transit,transit,2016,2016,false,2010s,2.344511944,0.82,0.477,1471.0,393.642,290.5436836,47.7259073
Kepler-1140 b,Kepler-1140,kepler-1140,Transit,transit,2016,2016,false,2010s,24.0862707,2.77,8.1,500.0,656.48,281.6940529,46.946521
Kepler-1183 b,Kepler-1183,kepler-1183,Transit,transit,2016,2016,false,2010s,28.5057189,2.82,8.35,555.0,1919.19,292.2324228,38.8921946
Kepler-1192 b,Kepler-1192,kepler-1192,Transit,transit,2016,2016,false,2010s,25.2034787,2.36,6.17,600.0,1304.19,282.1405603,43.8964934
Kepler-1028 b,Kepler-1028,kepler-1028,Transit,transit,2016,2016,false,2010s,2.51462432,1.33,2.33,1217.0,607.916,289.5931004,49.7812447
Kepler-1004 b,Kepler-1004,kepler-1004,Transit,transit,2016,2016,false,2010s,5.28789787,6.28,32.5,1661.0,1152.68,297.3593427,49.7975464
Kepler-1072 b,Kepler-1072,kepler-1072,Transit,transit,2016,2016,false,2010s,1.569066502,1.58,3.12,1849.0,982.716,292.0443891,46.3289723
Kepler-1065 b,Kepler-1065,kepler-1065,Transit,transit,2016,2016,false,2010s,3.609308907,3.73,13.4,1092.0,1122.48,294.511319,38.7904648
Kepler-1077 b,Kepler-1077,kepler-1077,Transit,transit,2016,2016,false,2010s,34.3511874,2.77,8.1,576.0,1101.42,291.0336333,42.2678448
Kepler-1194 b,Kepler-1194,kepler-1194,Transit,transit,2016,2016,false,2010s,16.22371307,1.51,2.89,676.0,757.382,291.6994841,38.1452065
Kepler-1197 b,Kepler-1197,kepler-1197,Transit,transit,2016,2016,false,2010s,2.03231845,1.25,2.1,1011.0,486.94,291.6693437,42.5907441
Kepler-1146 b,Kepler-1146,kepler-1146,Transit,transit,2016,2016,false,2010s,2.352265797,1.23,2.04,1019.0,703.038,286.716712,47.425658
Kepler-1144 b,Kepler-1144,kepler-1144,Transit,transit,2016,2016,false,2010s,17.14647302,1.99,4.62,811.0,1140.57,290.0432936,47.2578857
Kepler-1079 b,Kepler-1079,kepler-1079,Transit,transit,2016,2016,false,2010s,13.24503188,1.63,3.29,887.0,591.098,299.5495794,45.7696769
Kepler-1066 b,Kepler-1066,kepler-1066,Transit,transit,2016,2016,false,2010s,1.931559839,2.36,6.17,1290.0,344.251,298.866621,46.5022325
Kepler-1198 b,Kepler-1198,kepler-1198,Transit,transit,2016,2016,false,2010s,7.6847716,1.47,2.76,830.0,743.03,288.8339659,44.838198
Kepler-1199 b,Kepler-1199,kepler-1199,Transit,transit,2016,2016,false,2010s,15.0447198,1.15,1.6,931.0,563.493,293.7258092,47.2469219
Kepler-968 b,Kepler-968,kepler-968,Transit,transit,2016,2016,false,2010s,3.692983728,2.0,4.66,745.0,290.324,285.6025889,50.1120401
Kepler-1047 b,Kepler-1047,kepler-1047,Transit,transit,2016,2016,false,2010s,56.1886887,2.09,5.02,503.0,817.647,288.6462564,50.7889645
Kepler-1148 b,Kepler-1148,kepler-1148,Transit,transit,2016,2016,false,2010s,1.104463509,1.69,3.5,1397.0,625.692,290.9536059,45.7195545
Kepler-1147 b,Kepler-1147,kepler-1147,Transit,transit,2016,2016,false,2010s,10.62784997,2.61,7.32,872.0,1657.36,292.5474753,41.6429221
Kepler-1081 b,Kepler-1081,kepler-1081,Transit,transit,2016,2016,false,2010s,3.856918547,1.01,1.01,972.0,420.215,289.444752,41.3179652
Kepler-1062 b,Kepler-1062,kepler-1062,Transit,transit,2016,2016,false,2010s,9.30412078,1.76,3.75,583.0,397.455,283.8994187,41.221594
Kepler-1063 b,Kepler-1063,kepler-1063,Transit,transit,2016,2016,false,2010s,14.07971466,1.49,2.83,931.0,343.226,290.5267975,38.1428283
Kepler-1064 b,Kepler-1064,kepler-1064,Transit,transit,2016,2016,false,2010s,16.54080322,1.55,3.02,570.0,374.0,291.7415821,37.6888103
Kepler-1084 b,Kepler-1084,kepler-1084,Transit,transit,2016,2016,false,2010s,2.05333679,1.11,1.41,1737.0,405.533,290.1019809,48.251146
Kepler-1087 b,Kepler-1087,kepler-1087,Transit,transit,2016,2016,false,2010s,0.693842855,0.61,0.165,2161.0,362.623,294.9789253,46.0056741
Kepler-1207 b,Kepler-1207,kepler-1207,Transit,transit,2016,2016,false,2010s,13.68237119,1.62,3.26,802.0,1754.19,295.0641963,49.3589615
Kepler-1209 b,Kepler-1209,kepler-1209,Transit,transit,2016,2016,false,2010s,25.369116,1.51,2.89,755.0,505.531,287.5849352,49.1547328
Kepler-1114 b,Kepler-1114,kepler-1114,Transit,transit,2016,2016,false,2010s,14.97435694,1.35,2.39,631.0,418.417,299.2370531,45.8347781
Kepler-1115 b,Kepler-1115,kepler-1115,Transit,transit,2016,2016,false,2010s,23.5540725,1.7,3.53,1381.0,983.245,294.9917723,40.1443964
Kepler-1154 b,Kepler-1154,kepler-1154,Transit,transit,2016,2016,false,2010s,5.1856142,2.34,6.08,1314.0,1460.1,297.4771158,39.8772345
Kepler-1089 b,Kepler-1089,kepler-1089,Transit,transit,2016,2016,false,2010s,5.132485618,1.83,4.01,584.0,259.328,291.0926509,49.1901729
Kepler-1216 b,Kepler-1216,kepler-1216,Transit,transit,2016,2016,false,2010s,4.37034536,1.39,2.51,1191.0,1258.36,287.4052661,45.917979
Kepler-1215 b,Kepler-1215,kepler-1215,Transit,transit,2016,2016,false,2010s,4.76703963,1.22,1.98,1046.0,661.022,297.4636477,48.1813978
Kepler-1117 b,Kepler-1117,kepler-1117,Transit,transit,2016,2016,false,2010s,4.79028459,1.11,1.41,938.0,568.487,292.0847866,49.2374206
Kepler-1156 b,Kepler-1156,kepler-1156,Transit,transit,2016,2016,false,2010s,11.89520511,1.32,2.3,787.0,691.331,288.9240901,46.0575865
Kepler-1092 b,Kepler-1092,kepler-1092,Transit,transit,2016,2016,false,2010s,58.6017925,2.07,4.94,508.0,981.233,297.7232008,47.1126833
Kepler-1093 b,Kepler-1093,kepler-1093,Transit,transit,2016,2016,false,2010s,25.0824626,1.95,4.46,776.0,1072.88,284.9780251,41.4202077
Kepler-1210 b,Kepler-1210,kepler-1210,Transit,transit,2016,2016,false,2010s,8.07124073,1.7,3.53,856.0,1176.53,292.8321598,48.2193376
Kepler-1212 b,Kepler-1212,kepler-1212,Transit,transit,2016,2016,false,2010s,12.94130146,2.14,5.22,795.0,1316.57,296.8534096,50.0373196
Kepler-1120 b,Kepler-1120,kepler-1120,Transit,transit,2016,2016,false,2010s,2.949029052,1.38,2.48,1027.0,615.231,290.9144516,42.2865522
Kepler-1159 b,Kepler-1159,kepler-1159,Transit,transit,2016,2016,false,2010s,22.70816791,2.37,6.21,677.0,1213.71,294.266325,45.2042317
Kepler-1160 b,Kepler-1160,kepler-1160,Transit,transit,2016,2016,false,2010s,7.97034958,2.14,5.22,839.0,1077.63,287.8793899,43.3640752
Kepler-1096 b,Kepler-1096,kepler-1096,Transit,transit,2016,2016,false,2010s,2.892217506,1.24,2.07,794.0,377.976,294.7094688,45.9695533
Kepler-1094 b,Kepler-1094,kepler-1094,Transit,transit,2016,2016,false,2010s,78.1000231,3.18,10.2,480.0,1291.01,292.3012109,38.2669983
Kepler-1214 b,Kepler-1214,kepler-1214,Transit,transit,2016,2016,false,2010s,18.82634264,2.36,6.17,591.0,729.227,285.1427113,49.8006565
Kepler-1122 b,Kepler-1122,kepler-1122,Transit,transit,2016,2016,false,2010s,42.1917357,2.04,4.82,526.0,1230.42,288.2805801,46.3408747
Kepler-1124 b,Kepler-1124,kepler-1124,Transit,transit,2016,2016,false,2010s,2.852348975,1.28,2.18,621.0,289.899,286.5942529,37.8912836
Kepler-1161 b,Kepler-1161,kepler-1161,Transit,transit,2016,2016,false,2010s,10.71252541,2.13,5.18,485.0,547.726,299.0770621,45.4405583
Kepler-1097 b,Kepler-1097,kepler-1097,Transit,transit,2016,2016,false,2010s,187.747029,3.26,10.7,267.0,719.802,281.5941261,42.5963949
Kepler-1098 b,Kepler-1098,kepler-1098,Transit,transit,2016,2016,false,2010s,2.543072855,1.3,2.24,1319.0,1049.19,295.502673,43.2326992
Kepler-1046 b,Kepler-1046,kepler-1046,Transit,transit,2016,2016,false,2010s,14.37508035,1.71,3.57,786.0,721.534,296.7558056,46.9982799
Kepler-1125 b,Kepler-1125,kepler-1125,Transit,transit,2016,2016,false,2010s,17.6700642,1.84,4.04,778.0,2011.41,295.4812018,40.7319316
Kepler-1126 b,Kepler-1126,kepler-1126,Transit,transit,2016,2016,false,2010s,108.593329,1.73,3.64,374.0,635.736,285.691955,45.6893993
Kepler-1166 b,Kepler-1166,kepler-1166,Transit,transit,2016,2016,false,2010s,33.2406882,1.69,3.5,486.0,634.906,290.3484956,50.9028387
Kepler-1164 b,Kepler-1164,kepler-1164,Transit,transit,2016,2016,false,2010s,3.97599768,1.12,1.46,936.0,431.622,287.5296372,38.8945065
Kepler-1102 b,Kepler-1102,kepler-1102,Transit,transit,2016,2016,false,2010s,51.3285623,2.66,7.56,546.0,1246.05,281.3225917,48.0664955
Kepler-1100 b,Kepler-1100,kepler-1100,Transit,transit,2016,2016,false,2010s,6.42200058,1.75,3.71,1000.0,693.618,291.8713535,44.0873907
Kepler-1000 b,Kepler-1000,kepler-1000,Transit,transit,2016,2016,false,2010s,120.0181272,4.76,20.3,473.0,1115.62,286.6854729,47.0981948
Kepler-1127 b,Kepler-1127,kepler-1127,Transit,transit,2016,2016,false,2010s,5.12330347,1.96,4.5,994.0,842.459,293.2173563,42.7205846
Kepler-1128 b,Kepler-1128,kepler-1128,Transit,transit,2016,2016,false,2010s,61.6178167,3.65,12.9,424.0,1083.41,293.063315,39.4034052
Kepler-1073 b,Kepler-1073,kepler-1073,Transit,transit,2016,2016,false,2010s,8.67888593,2.3,5.9,905.0,809.897,294.1527259,38.2330886
Kepler-1169 b,Kepler-1169,kepler-1169,Transit,transit,2016,2016,false,2010s,6.11009134,0.94,0.779,1125.0,522.823,294.9115874,46.4914718
Kepler-1106 b,Kepler-1106,kepler-1106,Transit,transit,2016,2016,false,2010s,1.252752174,1.65,3.36,2199.0,1090.7,291.1451576,44.0624715
Kepler-1037 b,Kepler-1037,kepler-1037,Transit,transit,2016,2016,false,2010s,1.063788673,1.28,2.18,1650.0,446.914,296.3410342,47.1709335
Kepler-1131 b,Kepler-1131,kepler-1131,Transit,transit,2016,2016,false,2010s,3.53232449,1.59,3.15,1159.0,1030.7,295.6514492,49.2612954
Kepler-1132 b,Kepler-1132,kepler-1132,Transit,transit,2016,2016,false,2010s,62.8916228,2.35,6.12,384.0,867.931,286.3675188,48.4238906
Kepler-480 b,Kepler-480,kepler-480,Transit,transit,2016,2016,false,2010s,4.919583795,2.78,8.15,1312.0,847.508,294.4639165,49.7650473
Kepler-1108 b,Kepler-1108,kepler-1108,Transit,transit,2016,2016,false,2010s,4.51005748,1.46,2.73,1063.0,767.701,296.0422962,45.98514
Kepler-1109 b,Kepler-1109,kepler-1109,Transit,transit,2016,2016,false,2010s,37.6467384,2.19,5.43,787.0,685.087,291.6462654,39.3966122
